Name,Team,Opponent,Position,Projection,Proj Ratio,Ceiling,Ceiling Ratio,Salary
Kayshon Boutte (NE),NE,CAR,WR,5.2,1.2,6.6,1.5,4300
Sterling Shepard (TB),TB,PHI,WR,4.9,1.2,6.2,1.6,4000
Tyler Higbee (LAR),LAR,IND,TE,4.9,1.8,6.4,2.3,2800
BAL,BAL,KC,DST,4.9,1.8,3.1,1.1,2700
ATL,ATL,WAS,DST,4.9,1.8,2.5,0.9,2700
CLE,CLE,DET,DST,4.8,2.2,-2.1,-1.0,2200
Jayden Higgins (HOU),HOU,TEN,WR,4.6,1.2,5.9,1.5,3900
Isaiah Likely (BAL),BAL,KC,TE,4.5,1.4,5.9,1.8,3300
KC,KC,BAL,DST,4.4,1.6,4.4,1.6,2800
Hunter Renfrow (CAR),CAR,NE,WR,4.3,1.1,5.5,1.4,3800
Jake Tonges (SF),SF,JAX,TE,4.1,1.3,5.3,1.7,3100
Antonio Gibson (NE),NE,CAR,RB,4,0.9,11.5,2.5,4600
Dont'e Thornton Jr. (LV),LV,CHI,WR,4,1.0,5.1,1.3,3900
IND,IND,LAR,DST,4,1.5,1.2,0.5,2600
Theo Johnson (NYG),NYG,LAC,TE,3.7,1.3,4.8,1.7,2900
Brandin Cooks (NO),NO,BUF,WR,3.7,1.0,4.7,1.3,3600
Dyami Brown (JAX),JAX,SF,WR,3.4,0.8,4.3,1.0,4100
JAX,JAX,SF,DST,3.4,1.4,0.5,0.2,2500
Austin Hooper (NE),NE,CAR,TE,3.3,1.1,4.3,1.4,3000
Darius Slayton (NYG),NYG,LAC,WR,3.1,0.8,3.9,1.1,3700
NO,NO,BUF,DST,3,1.5,-2.7,-1.4,2000
Oronde Gadsden (LAC),LAC,NYG,TE,2.9,1.1,3.8,1.5,2600
JuJu Smith-Schuster (KC),KC,BAL,WR,2.8,0.7,3.6,0.9,3800
Devin Singletary (NYG),NYG,LAC,RB,2.7,0.6,11.1,2.5,4500
Tommy Tremble (CAR),CAR,NE,TE,2.5,0.9,3.3,1.2,2700
Olamide Zaccheaus (CHI),CHI,LV,WR,2.5,0.7,3.2,0.9,3600
Parker Washington (JAX),JAX,SF,WR,2.2,0.6,2.8,0.8,3700
Noah Gray (KC),KC,BAL,TE,2.1,0.8,2.7,1.0,2700
Luke McCaffrey (WAS),WAS,ATL,WR,1.9,0.6,2.4,0.7,3400
Gunnar Helm (TEN),TEN,HOU,TE,1.7,0.7,2.2,0.8,2600
Ray-Ray McCloud III (ATL),ATL,WAS,WR,1.6,0.4,2,0.5,3700
Demarcus Robinson (SF),SF,JAX,WR,1.3,0.4,1.7,0.5,3500
Kendrick Bourne (SF),SF,JAX,WR,1,0.3,1.3,0.4,3700
Adonai Mitchell (IND),IND,LAR,WR,0.7,0.2,0.9,0.3,3100
